の	6602
する	6356
を	6249
に	5285
が	4876
は	4447
だ	2559
と	2093
いる	2052
ﾀ	1454
で	1443
ない	1426
…	1302
か	1282
れる	1099
ｰ	990
も	947
から	938
ある	930
……	826
ｸ	787
ｴ	785
無線	778
敵	755
：	752
のだ	750
ます	747
｡	689
ﾇ	686
ゲイツ	654
この	628
な	627
ｿ	623
ﾁ	618
こと	573
ようだ	556
ｵ	547
なる	535
ぞ	534
くれる	529
自分	525
ｻ	524
へ	516
ﾙ	490
くる	482
ｹ	460
ｺ	445
ぬ	435
ﾌ	430
無い	406
来る	404
＿	400
世界	397
んだ	389
ｱ	388
その	387
ｼ	384
まで	377
者	373
人	355
これ	354
ここ	347
｣	343
しまう	340
俺	338
ケース	338
ﾏ	333
｢	329
4988601004404	328
･･･	325
我々	317
私	316
社長	314
警官	314
ら	313
ﾎ	310
ﾞ	310
いう	300
ｾ	298
奴	294
開始	288
よ	284
ｳ	282
仲間	280
やる	280
それ	278
ｽ	275
中	275
ﾃ	274
ｶ	271
よい	271
戦闘	270
何	267
ｷ	267
君	262
せる	252
そこ	250
2	250
入る	249
よる	244
こちら	239
地点	238
ロイ	238
日	236
■	236
将軍	231
ﾚ	230
破壊	230
ミッション	223
行く	219
〜	218
ああ	217
今	215
殲滅	213
部隊	212
くださる	211
殺す	210
ハゲ	209
武器	208
警察	208
内	206
軍	204
男	204
いい	203
らしい	203
所	201
ﾟ	201
ﾂ	201
ボス	200
達	199
たち	198
お前	197
死ぬ	196
時	195
組織	191
できる	191
一	190
ため	189
兵士	189
より	188
ﾅ	188
年	188
ﾄ	187
もう	186
ｯ	186
前	185
ロボット	184
制圧	184
だろう	183
ｮ	181
･	181
お	180
る	180
月	178
脱出	177
1	177
研究	177
幹部	175
事	175
兵器	175
ｦ	174
隊	173
機	173
放送	173
もの	172
だけ	172
思う	172
ﾆ	170
られる	168
あなた	167
突入	165
ジーン	165
でも	164
情報	164
倒す	163
殺害	162
犯行	158
ﾈ	153
分	153
上	151
任務	150
持つ	150
ﾖ	149
後	149
侵入	149
逃げる	148
たい	147
イベント	145
※	144
作戦	143
出す	142
部屋	142
用	141
いく	141
エルザ	141
ゾンビ	140
ｭ	138
隊員	137
向かう	136
つ	135
見る	135
ｫ	134
員	134
ﾗ	133
気	133
出る	132
ﾝ	131
